,Year,Age,MainOffence,Gender,Ethnicity,Order,Value,Flags
1633,1992,14,Theft And Related Offences,Female,European,"Discharge, admonish",1,NA
1674,1992,14,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
1660,1992,14,Property Damage And Environmental Pollution,Female,European,Supervision with residence,1,NA
1615,1992,14,Theft And Related Offences,Female,European,"Supervision, community work",1,NA
1574,1992,14,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,European,"Supervision, community work",1,NA
13857,1992,15,Illicit Drug Offences,Female,European,Adult sentences,1,NA
13636,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",1,NA
13982,1992,15,"Offences Against Justice Procedures, Government Security And Government Operations",Female,European,"Monetary, confiscation, disqualification",1,NA
13912,1992,15,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
13788,1992,15,Theft And Related Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
13883,1992,15,Property Damage And Environmental Pollution,Female,European,Supervision with residence,1,NA
13666,1992,15,"Abduction, Harassment And Other Offences Against The Person",Female,European,"Supervision, community work",1,NA
13587,1992,15,Acts Intended To Cause Injury,Female,European,"Supervision, community work",1,NA
13911,1992,15,Public Order Offences,Female,European,"Supervision, community work",1,NA
13772,1992,15,Theft And Related Offences,Female,European,"Supervision, community work",1,NA
30681,1992,16,Acts Intended To Cause Injury,Female,European,Adult sentences,1,NA
31079,1992,16,"Fraud, Deception And Related Offences",Female,European,Adult sentences,1,NA
30654,1992,16,Homicide And Related Offences,Female,European,Adult sentences,1,NA
30990,1992,16,Theft And Related Offences,Female,European,Adult sentences,1,NA
30810,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Discharge, admonish",1,NA
31122,1992,16,"Fraud, Deception And Related Offences",Female,European,"Discharge, admonish",1,NA
31247,1992,16,Public Order Offences,Female,European,"Discharge, admonish",1,NA
31045,1992,16,Theft And Related Offences,Female,European,"Discharge, admonish",1,NA
30712,1992,16,Acts Intended To Cause Injury,Female,European,"Monetary, confiscation, disqualification",1,NA
30787,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.1,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.2,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.3,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.4,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.5,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
31104,1992,16,"Fraud, Deception And Related Offences",Female,European,"Monetary, confiscation, disqualification",1,NA
31235,1992,16,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
31026,1992,16,Theft And Related Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
31292,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.1,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
